交易日期,sh600000_涨幅,sz000628_涨幅,sz300001_涨幅,当天涨幅最大的股票,最大涨幅,当天涨幅最大的股票第二天的涨幅
2016-01-04,-0.025725,-0.095512,-0.099655,sh600000,-0.025725,0.008989
2016-01-05,0.008989,0.081425,-0.055916999999999994,sz000628,0.081425,0.029412
2016-01-06,0.007795000000000001,0.029412,0.02069,sz000628,0.029412,-0.1
2016-01-07,-0.032597,-0.1,-0.100159,sh600000,-0.032597,-0.001142
2016-01-08,-0.001142,0.073016,-0.021643,sz000628,0.073016,-0.1
2016-01-11,-0.025157,-0.1,-0.099774,sh600000,-0.025157,0.023459999999999998
2016-01-12,0.023459999999999998,-0.09993400000000001,0.020562,sh600000,0.023459999999999998,-0.003438
2016-01-13,-0.003438,-0.09788200000000001,-0.081081,sh600000,-0.003438,0.030476999999999997
2016-01-14,0.030476999999999997,0.010526,0.09625700000000001,sz300001,0.09625700000000001,-0.019512
2016-01-15,-0.018973,-0.038462,-0.019512,sh600000,-0.018973,0.005688
2016-01-18,0.005688,-0.008333,0.038806,sz300001,0.038806,0.100096
2016-01-19,0.00509,0.1,0.100096,sz300001,0.100096,-0.013496000000000001
2016-01-20,-0.029263,-0.009167,-0.013496000000000001,sz000628,-0.009167,-0.087895
2016-01-21,-0.038841,-0.087895,-0.08782000000000001,sh600000,-0.038841,0.026538
2016-01-22,0.026538,0.018597,0.037736,sz300001,0.037736,-0.006993000000000001
2016-01-25,0.000588,0.037344,-0.006993000000000001,sz000628,0.037344,-0.1
2016-01-26,-0.021726,-0.1,-0.097183,sh600000,-0.021726,0.0012
2016-01-27,0.0012,-0.037333,0.049402,sz300001,0.049402,-0.061447
2016-01-28,-0.005995,-0.052632000000000005,-0.061447,sh600000,-0.005995,0.0193
2016-01-29,0.0193,0.057504999999999994,0.085005,sz300001,0.085005,
